year,team,squad_size,players_with_elo,elo_sum_total,elo_sum_GK,elo_sum_DF,elo_sum_MF,elo_sum_FW
2010,Algeria,23,19,29784.1,1238.5,11048.6,11400.3,6096.7
2010,Argentina,23,17,30266.9,3169.5,7294.3,10547.9,9255.2
2010,Australia,23,17,27012.8,3196.1,6468.0,12767.7,4581.0
2010,Brazil,23,20,35953.9,5431.2,12864.4,12316.8,5341.5
2010,Cameroon,23,22,37069.0,4933.1,13406.4,11898.3,6831.2
2010,Chile,23,12,19695.3,1656.9,3124.8,8269.1,6644.5
2010,Denmark,23,23,37637.7,4770.5,11869.2,16020.0,4978.0
2010,England,23,23,41286.2,4909.8,14508.7,14662.4,7205.3
2010,France,23,23,42467.6,5408.7,15032.8,12959.9,9066.2
2010,Germany,23,23,40761.8,5402.9,14066.5,14104.6,7187.8
2010,Ghana,23,16,26668.3,1618.3,8369.9,11493.2,5186.9
2010,Greece,23,23,37305.2,4665.5,16557.4,8092.4,7989.9
2010,Honduras,23,6,10026.0,0.0,3312.3,5018.0,1695.7
2010,Italy,23,23,39713.1,5113.0,12035.6,14024.8,8539.7
2010,Ivory Coast,23,20,34376.6,1391.2,13464.6,10639.9,8880.9
2010,Japan,23,4,6536.3,0.0,0.0,3450.7,3085.6
2010,Mexico,23,9,15727.4,0.0,8781.3,1747.1,5199.0
2010,Netherlands,23,23,39974.8,4852.6,11731.1,12409.8,10981.3
2010,New Zealand,23,6,9047.1,0.0,4582.7,1332.6,3131.8
2010,Nigeria,23,21,34505.8,1480.3,11483.2,6615.1,14927.2
2010,North Korea,23,1,1467.5,0.0,0.0,0.0,1467.5
2010,Paraguay,23,9,15238.6,1664.7,3200.3,3363.5,7010.1
2010,Portugal,23,23,40729.0,4835.3,14813.3,15716.3,5364.1
2010,Serbia,23,20,33743.5,1618.3,12034.8,14916.2,5174.2
2010,Slovakia,23,20,31356.4,4350.9,11298.8,11061.9,4644.8
2010,Slovenia,23,20,30903.9,4481.7,10580.8,6303.1,9538.3
2010,South Africa,23,7,11456.4,0.0,4629.0,5154.4,1673.0
2010,South Korea,23,5,8371.2,0.0,1583.7,5140.2,1647.3
2010,Spain,23,22,41468.0,5734.3,13257.3,16928.0,5548.4
2010,Switzerland,23,23,37467.2,4887.4,11402.1,14579.5,6598.2
2010,United States,23,17,27378.5,5016.5,9588.3,11221.8,1551.9
2010,Uruguay,23,15,25159.0,1602.0,8853.2,9594.4,5109.4
2014,Algeria,23,18,29173.6,1431.6,9505.0,13297.0,4940.0
2014,Argentina,23,17,30753.8,1647.9,8993.1,10836.6,9276.2
2014,Australia,23,9,14046.5,3453.2,0.0,9108.7,1484.6
2014,Belgium,23,21,37961.7,3352.6,14565.9,16541.9,3501.3
2014,Bosnia and Herzegovina,23,16,25692.5,1657.5,9366.3,11060.4,3608.3
2014,Brazil,23,18,33766.7,0.0,15253.8,12928.8,5584.1
2014,Cameroon,23,18,29834.0,1412.0,8262.8,10219.9,9939.3
2014,Chile,23,12,20395.4,0.0,1589.6,13408.9,5396.9
2014,Colombia,23,15,25189.0,1565.4,6648.5,10088.2,6886.9
2014,Costa Rica,23,9,13760.3,1670.7,4737.4,5737.8,1614.4
2014,Croatia,23,21,35252.2,3176.8,11415.9,13744.9,6914.6
2014,Ecuador,23,4,6820.4,0.0,0.0,6820.4,0.0
2014,England,23,23,42209.7,5211.6,12951.8,16674.8,7371.5
2014,France,23,22,39511.5,5004.9,14942.2,13853.8,5710.6
2014,Germany,23,23,43665.3,5647.1,16754.2,13735.2,7528.8
2014,Ghana,23,13,21344.4,1481.8,1538.2,15016.5,3307.9
2014,Greece,23,21,34423.2,4739.0,12017.7,13056.2,4610.3
2014,Honduras,23,6,9571.0,0.0,4755.0,4816.0,0.0
2014,Iran,23,3,4646.7,0.0,0.0,3180.9,1465.8
2014,Italy,23,21,36887.5,5271.1,12310.0,12545.1,6761.3
2014,Ivory Coast,23,20,33382.1,1477.2,11517.0,6999.0,13388.9
2014,Japan,23,12,20220.0,1554.2,8496.6,6959.1,3210.1
2014,Mexico,23,7,12139.4,1454.3,3497.0,5267.4,1920.7
2014,Netherlands,23,23,38826.0,5127.0,13038.1,9930.4,10730.5
2014,Nigeria,23,13,20819.8,1716.8,4433.4,6569.5,8100.1
2014,Portugal,23,21,36969.1,3407.9,12834.3,15528.6,5198.3
2014,Russia,23,20,33474.9,5087.3,13165.0,8487.1,6735.5
2014,South Korea,23,7,11604.4,0.0,4960.8,4800.8,1842.8
2014,Spain,23,21,41488.4,3945.9,11722.3,19946.7,5873.5
2014,Switzerland,23,15,26024.0,1760.0,8410.6,12558.3,3295.1
2014,United States,23,11,18359.7,3492.3,5024.8,6742.9,3099.7
2014,Uruguay,23,15,26280.1,1713.5,9194.3,8464.0,6908.3
2018,Argentina,23,17,31367.0,1916.2,14287.4,7231.0,7932.4
2018,Australia,23,16,23718.0,4734.3,4316.0,7557.9,7109.8
2018,Belgium,23,21,38391.3,5434.9,12923.9,10861.3,9171.2
2018,Brazil,23,19,36508.6,3832.4,11460.6,11743.2,9472.4
2018,Colombia,23,14,24901.2,1839.3,8925.1,7231.3,6905.5
2018,Costa Rica,23,10,16133.0,2006.8,7730.9,4763.7,1631.6
2018,Croatia,23,23,40308.9,4957.5,13950.4,11039.5,10361.5
2018,Denmark,23,23,37742.5,4805.0,11547.6,9915.4,11474.5
2018,Egypt,23,8,13041.7,0.0,4772.7,3291.5,4977.5
2018,England,23,23,42717.2,5031.5,19079.8,9253.8,9352.1
2018,France,23,23,42851.2,5503.8,14865.1,9489.8,12992.5
2018,Germany,23,23,42456.9,5894.6,14564.0,16996.5,5001.8
2018,Iceland,23,21,31706.9,2811.0,10127.6,14022.0,4746.3
2018,Iran,23,12,18241.3,1495.3,4692.7,4486.2,7567.1
2018,Japan,23,14,22469.2,1460.4,6506.1,9643.8,4858.9
2018,Mexico,23,11,18427.5,1464.4,5122.7,5174.9,6665.5
2018,Morocco,23,18,29390.5,3179.8,8718.8,14430.0,3061.9
2018,Nigeria,23,17,27228.9,1610.7,10440.0,6474.0,8704.2
2018,Panama,23,3,4568.7,1460.1,0.0,3108.6,0.0
2018,Peru,23,3,4884.4,0.0,0.0,1582.6,3301.8
2018,Poland,23,21,34861.8,5036.3,11246.7,11506.1,7072.7
2018,Portugal,23,22,37892.0,4940.6,11825.8,12244.9,8880.7
2018,Russia,23,23,38794.1,5114.4,11604.3,18907.8,3167.6
2018,Saudi Arabia,23,3,5041.9,0.0,0.0,3405.9,1636.0
2018,Senegal,23,22,34962.1,3085.4,9329.3,9519.7,13027.7
2018,Serbia,23,22,36294.6,3237.4,13454.1,13425.8,6177.3
2018,South Korea,23,5,8381.7,0.0,0.0,4760.8,3620.9
2018,Spain,23,23,44387.4,5521.9,15586.8,13898.7,9380.0
2018,Sweden,23,20,31912.8,4705.6,13042.7,10992.1,3172.4
2018,Switzerland,23,23,38634.3,5127.9,13368.1,13393.5,6744.8
2018,Tunisia,23,10,15423.0,1374.2,6256.8,1565.2,6226.8
2018,Uruguay,23,14,24858.6,1582.4,9094.9,6894.9,7286.4
2022,Argentina,26,24,43025.3,3504.9,14301.8,14153.6,11065.0
2022,Australia,26,15,21739.6,1599.4,9760.7,8780.1,1599.4
2022,Belgium,26,26,45496.8,5348.8,9867.4,14355.8,15924.8
2022,Brazil,26,22,41346.6,4028.4,12760.2,9305.4,15252.6
2022,Cameroon,26,18,29538.8,3576.8,6391.8,10941.5,8628.7
2022,Canada,26,14,21928.6,1627.5,4118.7,7596.8,8585.6
2022,Costa Rica,26,4,6334.5,3338.4,1521.2,1474.9,0.0
2022,Croatia,26,26,44464.0,4931.0,15155.8,14296.0,10081.2
2022,Denmark,26,26,44744.1,5018.1,15438.0,15791.7,8496.3
2022,Ecuador,26,10,16745.6,0.0,8252.8,6820.7,1672.1
2022,England,26,26,49117.7,5459.3,17090.1,15172.4,11395.9
2022,France,26,26,48376.8,5384.2,17244.9,10856.2,14891.5
2022,Germany,26,26,48488.1,5681.6,16246.8,17416.2,9143.5
2022,Ghana,26,23,37999.6,2840.8,14625.7,15579.0,4954.1
2022,Iran,25,12,18837.1,1456.0,5995.6,6365.7,5019.8
2022,Japan,26,19,31412.6,3059.1,6837.6,16830.5,4685.4
2022,Mexico,26,9,15251.1,0.0,6713.9,3510.9,5026.3
2022,Morocco,26,20,32685.0,1715.3,10371.5,14313.5,6284.7
2022,Netherlands,26,26,46433.9,5039.4,16947.9,12515.1,11931.5
2022,Poland,26,24,39018.3,4976.5,12550.9,16322.6,5168.3
2022,Portugal,26,26,47580.6,5253.5,15208.2,14249.1,12869.8
2022,Qatar,26,0,0.0,0.0,0.0,0.0,0.0
2022,Saudi Arabia,26,0,0.0,0.0,0.0,0.0,0.0
2022,Senegal,26,25,41793.5,5126.2,15082.7,11896.0,9688.6
2022,Serbia,26,26,42888.0,4984.6,11327.0,16531.9,10044.5
2022,South Korea,26,8,13561.1,0.0,1903.6,10158.5,1499.0
2022,Spain,26,26,48103.3,5257.4,14956.4,13153.3,14736.2
2022,Switzerland,26,25,42239.3,6799.2,13748.3,15051.8,6640.0
2022,Tunisia,26,11,16308.2,0.0,7200.7,4659.3,4448.2
2022,United States,26,17,28941.3,3454.5,8543.3,6804.2,10139.3
2022,Uruguay,26,15,26643.6,1580.7,9051.4,8876.0,7135.5
2022,Wales,26,21,33674.9,5033.9,13163.7,9051.5,6425.8
