year,team,squad_size,players_with_elo,elo_sum_total,n_GK,n_GK_with_elo,elo_sum_GK,n_DF,n_DF_with_elo,elo_sum_DF,n_MF,n_MF_with_elo,elo_sum_MF,n_FW,n_FW_with_elo,elo_sum_FW
2010,Algeria,23,19,29784.1,3,1,1238.5,8,7,11048.6,8,7,11400.3,4,4,6096.7
2010,Argentina,23,17,30266.9,3,2,3169.5,7,4,7294.3,7,6,10547.9,6,5,9255.2
2010,Australia,23,17,27012.8,3,2,3196.1,7,4,6468.0,9,8,12767.7,4,3,4581.0
2010,Brazil,23,20,35953.9,3,3,5431.2,8,7,12864.4,8,7,12316.8,4,3,5341.5
2010,Cameroon,23,22,37069.0,3,3,4933.1,8,8,13406.4,7,7,11898.3,5,4,6831.2
2010,Chile,23,12,19695.3,3,1,1656.9,5,2,3124.8,9,5,8269.1,6,4,6644.5
2010,Denmark,23,23,37637.7,3,3,4770.5,7,7,11869.2,10,10,16020.0,3,3,4978.0
2010,England,23,23,41286.2,3,3,4909.8,8,8,14508.7,8,8,14662.4,4,4,7205.3
2010,France,23,23,42467.6,3,3,5408.7,8,8,15032.8,7,7,12959.9,5,5,9066.2
2010,Germany,23,23,40761.8,3,3,5402.9,8,8,14066.5,8,8,14104.6,4,4,7187.8
2010,Ghana,23,16,26668.3,3,1,1618.3,8,5,8369.9,8,7,11493.2,4,3,5186.9
2010,Greece,23,23,37305.2,3,3,4665.5,10,10,16557.4,5,5,8092.4,5,5,7989.9
2010,Honduras,23,6,10026.0,3,0,0.0,8,2,3312.3,6,3,5018.0,6,1,1695.7
2010,Italy,23,23,39713.1,3,3,5113.0,7,7,12035.6,8,8,14024.8,5,5,8539.7
2010,Ivory Coast,23,20,34376.6,3,1,1391.2,8,8,13464.6,7,6,10639.9,5,5,8880.9
2010,Japan,23,4,6536.3,3,0,0.0,7,0,0.0,7,2,3450.7,6,2,3085.6
2010,Mexico,23,9,15727.4,3,0,0.0,9,5,8781.3,5,1,1747.1,6,3,5199.0
2010,Netherlands,23,23,39974.8,3,3,4852.6,7,7,11731.1,7,7,12409.8,6,6,10981.3
2010,New Zealand,23,6,9047.1,3,0,0.0,7,3,4582.7,9,1,1332.6,4,2,3131.8
2010,Nigeria,23,21,34505.8,3,1,1480.3,7,7,11483.2,4,4,6615.1,9,9,14927.2
2010,North Korea,23,1,1467.5,3,0,0.0,8,0,0.0,8,0,0.0,4,1,1467.5
2010,Paraguay,23,9,15238.6,3,1,1664.7,8,2,3200.3,6,2,3363.5,6,4,7010.1
2010,Portugal,23,23,40729.0,3,3,4835.3,8,8,14813.3,9,9,15716.3,3,3,5364.1
2010,Serbia,23,20,33743.5,3,1,1618.3,7,7,12034.8,9,9,14916.2,4,3,5174.2
2010,Slovakia,23,20,31356.4,3,3,4350.9,7,7,11298.8,9,7,11061.9,4,3,4644.8
2010,Slovenia,23,20,30903.9,3,3,4481.7,8,7,10580.8,6,4,6303.1,6,6,9538.3
2010,South Africa,23,7,11456.4,3,0,0.0,8,3,4629.0,9,3,5154.4,3,1,1673.0
2010,South Korea,23,5,8371.2,3,0,0.0,7,1,1583.7,8,3,5140.2,5,1,1647.3
2010,Spain,23,22,41468.0,3,3,5734.3,7,7,13257.3,9,9,16928.0,4,3,5548.4
2010,Switzerland,23,23,37467.2,3,3,4887.4,7,7,11402.1,9,9,14579.5,4,4,6598.2
2010,United States,23,17,27378.5,3,3,5016.5,7,6,9588.3,9,7,11221.8,4,1,1551.9
2010,Uruguay,23,15,25159.0,3,1,1602.0,7,5,8853.2,8,6,9594.4,5,3,5109.4
2014,Algeria,23,18,29173.6,3,1,1431.6,8,6,9505.0,9,8,13297.0,3,3,4940.0
2014,Argentina,23,17,30753.8,3,1,1647.9,7,5,8993.1,8,6,10836.6,5,5,9276.2
2014,Australia,23,9,14046.5,3,2,3453.2,6,0,0.0,11,6,9108.7,3,1,1484.6
2014,Belgium,23,21,37961.7,3,2,3352.6,8,8,14565.9,9,9,16541.9,3,2,3501.3
2014,Bosnia and Herzegovina,23,16,25692.5,3,1,1657.5,8,6,9366.3,9,7,11060.4,3,2,3608.3
2014,Brazil,23,18,33766.7,3,0,0.0,8,8,15253.8,7,7,12928.8,5,3,5584.1
2014,Cameroon,23,18,29834.0,3,1,1412.0,7,5,8262.8,7,6,10219.9,6,6,9939.3
2014,Chile,23,12,20395.4,3,0,0.0,5,1,1589.6,11,8,13408.9,4,3,5396.9
2014,Colombia,23,15,25189.0,3,1,1565.4,7,4,6648.5,8,6,10088.2,5,4,6886.9
2014,Costa Rica,23,9,13760.3,3,1,1670.7,9,3,4737.4,7,4,5737.8,4,1,1614.4
2014,Croatia,23,21,35252.2,3,2,3176.8,7,7,11415.9,8,8,13744.9,5,4,6914.6
2014,Ecuador,23,4,6820.4,3,0,0.0,6,0,0.0,11,4,6820.4,3,0,0.0
2014,England,23,23,42209.7,3,3,5211.6,7,7,12951.8,9,9,16674.8,4,4,7371.5
2014,France,23,22,39511.5,3,3,5004.9,8,8,14942.2,8,8,13853.8,4,3,5710.6
2014,Germany,23,23,43665.3,3,3,5647.1,9,9,16754.2,7,7,13735.2,4,4,7528.8
2014,Ghana,23,13,21344.4,3,1,1481.8,6,1,1538.2,10,9,15016.5,4,2,3307.9
2014,Greece,23,21,34423.2,3,3,4739.0,7,7,12017.7,9,8,13056.2,4,3,4610.3
2014,Honduras,23,6,9571.0,3,0,0.0,7,3,4755.0,9,3,4816.0,4,0,0.0
2014,Iran,23,3,4646.7,3,0,0.0,9,0,0.0,8,2,3180.9,3,1,1465.8
2014,Italy,23,21,36887.5,3,3,5271.1,7,7,12310.0,8,7,12545.1,5,4,6761.3
2014,Ivory Coast,23,20,33382.1,3,1,1477.2,8,7,11517.0,4,4,6999.0,8,8,13388.9
2014,Japan,23,12,20220.0,3,1,1554.2,8,5,8496.6,7,4,6959.1,5,2,3210.1
2014,Mexico,23,7,12139.4,3,1,1454.3,8,2,3497.0,8,3,5267.4,4,1,1920.7
2014,Netherlands,23,23,38826.0,3,3,5127.0,8,8,13038.1,6,6,9930.4,6,6,10730.5
2014,Nigeria,23,13,20819.8,3,1,1716.8,7,3,4433.4,7,4,6569.5,6,5,8100.1
2014,Portugal,23,21,36969.1,3,2,3407.9,7,7,12834.3,9,9,15528.6,4,3,5198.3
2014,Russia,23,20,33474.9,3,3,5087.3,9,8,13165.0,6,5,8487.1,5,4,6735.5
2014,South Korea,23,7,11604.4,3,0,0.0,8,3,4960.8,7,3,4800.8,5,1,1842.8
2014,Spain,23,21,41488.4,3,2,3945.9,6,6,11722.3,10,10,19946.7,4,3,5873.5
2014,Switzerland,23,15,26024.0,3,1,1760.0,8,5,8410.6,8,7,12558.3,4,2,3295.1
2014,United States,23,11,18359.7,3,2,3492.3,8,3,5024.8,8,4,6742.9,4,2,3099.7
2014,Uruguay,23,15,26280.1,3,1,1713.5,7,5,9194.3,8,5,8464.0,5,4,6908.3
2018,Argentina,23,17,31367.0,3,1,1916.2,9,8,14287.4,7,4,7231.0,4,4,7932.4
2018,Australia,23,16,23718.0,3,3,4734.3,7,3,4316.0,5,5,7557.9,8,5,7109.8
2018,Belgium,23,21,38391.3,3,3,5434.9,7,7,12923.9,8,6,10861.3,5,5,9171.2
2018,Brazil,23,19,36508.6,3,2,3832.4,8,6,11460.6,7,6,11743.2,5,5,9472.4
2018,Colombia,23,14,24901.2,3,1,1839.3,7,5,8925.1,8,4,7231.3,5,4,6905.5
2018,Costa Rica,23,10,16133.0,3,1,2006.8,9,5,7730.9,8,3,4763.7,3,1,1631.6
2018,Croatia,23,23,40308.9,3,3,4957.5,8,8,13950.4,6,6,11039.5,6,6,10361.5
2018,Denmark,23,23,37742.5,3,3,4805.0,7,7,11547.6,6,6,9915.4,7,7,11474.5
2018,Egypt,23,8,13041.7,3,0,0.0,8,3,4772.7,6,2,3291.5,6,3,4977.5
2018,England,23,23,42717.2,3,3,5031.5,10,10,19079.8,5,5,9253.8,5,5,9352.1
2018,France,23,23,42851.2,3,3,5503.8,8,8,14865.1,5,5,9489.8,7,7,12992.5
2018,Germany,23,23,42456.9,3,3,5894.6,8,8,14564.0,9,9,16996.5,3,3,5001.8
2018,Iceland,23,21,31706.9,3,2,2811.0,7,7,10127.6,10,9,14022.0,3,3,4746.3
2018,Iran,23,12,18241.3,3,1,1495.3,8,3,4692.7,6,3,4486.2,6,5,7567.1
2018,Japan,23,14,22469.2,3,1,1460.4,8,4,6506.1,9,6,9643.8,3,3,4858.9
2018,Mexico,23,11,18427.5,3,1,1464.4,6,3,5122.7,8,3,5174.9,6,4,6665.5
2018,Morocco,23,18,29390.5,3,2,3179.8,6,5,8718.8,10,9,14430.0,4,2,3061.9
2018,Nigeria,23,17,27228.9,3,1,1610.7,8,7,10440.0,6,4,6474.0,6,5,8704.2
2018,Panama,23,3,4568.7,3,1,1460.1,8,0,0.0,7,2,3108.6,5,0,0.0
2018,Peru,23,3,4884.4,3,0,0.0,8,0,0.0,7,1,1582.6,5,2,3301.8
2018,Poland,23,21,34861.8,3,3,5036.3,7,7,11246.7,9,7,11506.1,4,4,7072.7
2018,Portugal,23,22,37892.0,3,3,4940.6,8,7,11825.8,7,7,12244.9,5,5,8880.7
2018,Russia,23,23,38794.1,3,3,5114.4,7,7,11604.3,11,11,18907.8,2,2,3167.6
2018,Saudi Arabia,23,3,5041.9,3,0,0.0,7,0,0.0,10,2,3405.9,3,1,1636.0
2018,Senegal,23,22,34962.1,3,2,3085.4,6,6,9329.3,6,6,9519.7,8,8,13027.7
2018,Serbia,23,22,36294.6,3,2,3237.4,8,8,13454.1,8,8,13425.8,4,4,6177.3
2018,South Korea,23,5,8381.7,3,0,0.0,10,0,0.0,7,3,4760.8,3,2,3620.9
2018,Spain,23,23,44387.4,3,3,5521.9,8,8,15586.8,7,7,13898.7,5,5,9380.0
2018,Sweden,23,20,31912.8,3,3,4705.6,8,8,13042.7,8,7,10992.1,4,2,3172.4
2018,Switzerland,23,23,38634.3,3,3,5127.9,8,8,13368.1,8,8,13393.5,4,4,6744.8
2018,Tunisia,23,10,15423.0,3,1,1374.2,8,4,6256.8,4,1,1565.2,8,4,6226.8
2018,Uruguay,23,14,24858.6,3,1,1582.4,7,5,9094.9,7,4,6894.9,6,4,7286.4
2022,Argentina,26,24,43025.3,3,2,3504.9,8,8,14301.8,9,8,14153.6,6,6,11065.0
2022,Australia,26,15,21739.6,3,1,1599.4,9,7,9760.7,6,6,8780.1,8,1,1599.4
2022,Belgium,26,26,45496.8,3,3,5348.8,6,6,9867.4,8,8,14355.8,9,9,15924.8
2022,Brazil,26,22,41346.6,3,2,4028.4,8,7,12760.2,6,5,9305.4,9,8,15252.6
2022,Cameroon,26,18,29538.8,3,2,3576.8,8,4,6391.8,8,7,10941.5,7,5,8628.7
2022,Canada,26,14,21928.6,3,1,1627.5,7,3,4118.7,10,5,7596.8,6,5,8585.6
2022,Costa Rica,26,4,6334.5,3,2,3338.4,8,1,1521.2,12,1,1474.9,3,0,0.0
2022,Croatia,26,26,44464.0,3,3,4931.0,9,9,15155.8,8,8,14296.0,6,6,10081.2
2022,Denmark,26,26,44744.1,3,3,5018.1,9,9,15438.0,9,9,15791.7,5,5,8496.3
2022,Ecuador,26,10,16745.6,3,0,0.0,9,5,8252.8,10,4,6820.7,4,1,1672.1
2022,England,26,26,49117.7,3,3,5459.3,9,9,17090.1,8,8,15172.4,6,6,11395.9
2022,France,26,26,48376.8,3,3,5384.2,9,9,17244.9,6,6,10856.2,8,8,14891.5
2022,Germany,26,26,48488.1,3,3,5681.6,9,9,16246.8,9,9,17416.2,5,5,9143.5
2022,Ghana,26,23,37999.6,3,2,2840.8,9,9,14625.7,10,9,15579.0,4,3,4954.1
2022,Iran,25,12,18837.1,4,1,1456.0,10,4,5995.6,8,4,6365.7,3,3,5019.8
2022,Japan,26,19,31412.6,3,2,3059.1,8,4,6837.6,11,10,16830.5,4,3,4685.4
2022,Mexico,26,9,15251.1,3,0,0.0,9,4,6713.9,6,2,3510.9,8,3,5026.3
2022,Morocco,26,20,32685.0,3,1,1715.3,8,6,10371.5,10,9,14313.5,5,4,6284.7
2022,Netherlands,26,26,46433.9,3,3,5039.4,9,9,16947.9,7,7,12515.1,7,7,11931.5
2022,Poland,26,24,39018.3,3,3,4976.5,8,8,12550.9,11,10,16322.6,4,3,5168.3
2022,Portugal,26,26,47580.6,3,3,5253.5,8,8,15208.2,8,8,14249.1,7,7,12869.8
2022,Qatar,26,0,0.0,3,0,0.0,8,0,0.0,10,0,0.0,5,0,0.0
2022,Saudi Arabia,26,0,0.0,3,0,0.0,8,0,0.0,9,0,0.0,6,0,0.0
2022,Senegal,26,25,41793.5,3,3,5126.2,10,9,15082.7,7,7,11896.0,6,6,9688.6
2022,Serbia,26,26,42888.0,3,3,4984.6,7,7,11327.0,10,10,16531.9,6,6,10044.5
2022,South Korea,26,8,13561.1,3,0,0.0,9,1,1903.6,12,6,10158.5,2,1,1499.0
2022,Spain,26,26,48103.3,3,3,5257.4,8,8,14956.4,7,7,13153.3,8,8,14736.2
2022,Switzerland,26,25,42239.3,4,4,6799.2,8,8,13748.3,10,9,15051.8,4,4,6640.0
2022,Tunisia,26,11,16308.2,4,0,0.0,8,5,7200.7,7,3,4659.3,7,3,4448.2
2022,United States,26,17,28941.3,3,2,3454.5,9,5,8543.3,6,4,6804.2,8,6,10139.3
2022,Uruguay,26,15,26643.6,3,1,1580.7,9,5,9051.4,8,5,8876.0,6,4,7135.5
2022,Wales,26,21,33674.9,3,3,5033.9,9,8,13163.7,9,6,9051.5,5,4,6425.8
